,Mixed Material,,,,,,,Process Data,,,,,,Seed Experiment,,,,Prediction
Reference,Mixture_main,Mixture_secondary,pH_m,"EC_m
(ms/cm)","MC_m
(%)",C/N_m,Additive,"Duration_time
(day)","T_ambient
(℃)","T_p
(℃)",pH_p,"EC_p
(ms/cm)","Aeration
( L/kg(dry mass)·min)",Seed,weight/volume,"Grow_time
(day)","Grow_T
(℃）","GI_p
(%)"
S4,Food Waste,sawdust,4.38,1.45,60,22,1,6.01485,15.8129,44.0308,4.07077,1.53846,0.4,cucumber,0.1,2,25,11.6923
S4,Food Waste,sawdust,4.38,1.45,60,22,1,11.9554,14.3018,65.0769,5.51077,1.63692,0.4,cucumber,0.1,2,25,59.6923
S4,Food Waste,sawdust,4.38,1.45,60,22,1,19.9752,13.587,64.2462,7.50462,2.32615,0.4,cucumber,0.1,2,25,74.7692
S4,Food Waste,sawdust,4.38,1.45,60,22,1,24.9505,13.3976,45.4154,7.94769,3.02769,0.4,cucumber,0.1,2,25,83.6923
S4,Food Waste,sawdust,4.38,1.45,60,22,1,30,12.5631,13.0154,7.94769,3.08923,0.4,cucumber,0.1,2,25,88.6154
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,0.876993,28,37.9695,4.0625,2.1625,0.4,pakchoi,0.1,3,20,6.09375
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,7.01595,28,48.731,4,1.7875,0.4,pakchoi,0.1,3,20,7.96875
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,13.9522,28,53.6041,7.5,1.8,0.4,pakchoi,0.1,3,20,48.2813
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,20.9681,28,52.1827,7.125,1.675,0.4,pakchoi,0.1,3,20,73.5938
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,28.1435,28,35.1269,8.125,1.7625,0.4,pakchoi,0.1,3,20,91.875
S5,Food Waste,Cornstalks,4.56,2.1,57.585,20.5,0,35.0797,28,29.0355,7.125,1.575,0.4,pakchoi,0.1,3,20,111.094
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,0.95672,28,35.1269,4.125,2.3375,0.4,pakchoi,0.1,3,20,4.6875
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,7.01595,28,55.8376,4.84375,2.0875,0.4,pakchoi,0.1,3,20,15.9375
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,14.0319,28,58.0711,7.1875,2.1,0.4,pakchoi,0.1,3,20,66.0938
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,20.8884,28,58.2741,7.96875,2.175,0.4,pakchoi,0.1,3,20,82.9688
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,27.9043,28,41.2183,7.90625,1.7625,0.4,pakchoi,0.1,3,20,111.094
S5,Food Waste,Cornstalks,4.56,2.3,57.585,22.5,1,35,28,32.8934,8.21875,1.9125,0.4,pakchoi,0.1,3,20,117.656
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,0.95672,28,34.9239,5,2.7,0.4,pakchoi,0.1,3,20,11.25
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,6.93622,28,53.6041,4.21875,2.375,0.4,pakchoi,0.1,3,20,29.5313
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,14.1116,28,52.5888,7.6875,2.1625,0.4,pakchoi,0.1,3,20,103.125
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,21.0478,28,54.8223,8.09375,2.25,0.4,pakchoi,0.1,3,20,120.938
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,27.9841,28,39.3909,8.09375,1.875,0.4,pakchoi,0.1,3,20,122.344
S5,Food Waste,Cornstalks,4.84,2.7,57.192,20,1,35.0797,28,28.2234,8.40625,2.1375,0.4,pakchoi,0.1,3,20,137.813
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,0.0986193,18.0142,20.8511,5.74247,3.51786,0.02,Cabbage,0.1,3,25,0
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,2.07101,19.8582,47.234,4.06061,2.89286,0.02,Cabbage,0.1,3,25,3.22581
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,7.00197,19.0071,56.4539,4.42511,2.48214,0.02,Cabbage,0.1,3,25,10
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,14.0039,19.0071,50.7801,7.10358,2.16071,0.02,Cabbage,0.1,3,25,18.0645
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,21.0059,18.8652,31.0638,7.47104,2.11607,0.02,Cabbage,0.1,3,25,33.2258
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,28.0079,19.0071,27.234,7.48296,1.76786,0.02,Cabbage,0.1,3,25,53.5484
S6,Food Waste,sawdust,5.74,3.518,60,26.27,1,39.0533,7.94326,12.1986,8.41204,1.65179,0.02,Cabbage,0.1,3,25,66.7742
